shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,prix_score,remise_norm,score_popularite,top_k,log_prix,segment_prix,shop_id,categorie_id,platform_id,cluster,cluster_nom,pca1,pca2,dbscan_label
BeautyMarket,Shopify,Corps,Gel Douche,,NIVEA MEN GEL DOUCHE DEEP CLEAN 250ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/nivea-men-gel-douche-deep-clean-250ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Corps,Gel Douche,,NIVEA MEN GEL DOUCHE SENSITIVE 250 ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/nivea-men-gel-douche-sensitive-250-ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Corps,Gel Douche,,NEUTRADERM GEL DOUCHE SURGRAS DERMO-PROTECTEUR 200 ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/neutraderm-gel-douche-surgras-dermo-protecteur-200-ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Corps,Gel Douche,,NIVEA MEN GEL DOUCHE 3EN1 SPORT 250ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/nivea-men-gel-douche-3en1-sport-250ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,RITUELESSENCE HUILE DE SESAME 50ML,47.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/rituelessence-huile-de-sesame-50ml,1,0,0.9183,0.0,0.5296,1,3.871201010907891,low-cost,0,5,0,4,Low-cost,-1.7765161104423797,0.6037112464857982,0
BeautyMarket,Shopify,Cheveux,Shampooing 1,,ELSEVE HYALURON PURE SHAMPOOING PURIFIANT 72H 400ML,47.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/elseve-hyaluron-pure-shampooing-purifiant-72h-400ml,1,0,0.9183,0.0,0.5296,1,3.871201010907891,low-cost,0,5,0,4,Low-cost,-1.7765161104423797,0.6037112464857982,0
Kiabi,Shopify,Fille,Fille,,Lot De 2 Paires De Chaussettes,55.0,0.0,,En stock,Non,0.0,,1,0,0.9176,0.0,0.5294,1,4.02535169073515,low-cost,2,9,0,4,Low-cost,-0.8154298544073836,0.3403666486422429,0
Kiabi,Shopify,Fille,Fille,,Robe En Maille Légère Fine Bretelles All-Over En Coton,55.0,0.0,,En stock,Non,0.0,,1,0,0.9176,0.0,0.5294,1,4.02535169073515,low-cost,2,9,0,4,Low-cost,-0.8154298544073836,0.3403666486422429,0
Kiabi,Shopify,Fille,Fille,,Lot De 2 Élastiques,55.0,0.0,,En stock,Non,0.0,,1,0,0.9176,0.0,0.5294,1,4.02535169073515,low-cost,2,9,0,4,Low-cost,-0.8154298544073836,0.3403666486422429,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,NATURESOIN HUILE DE MYRTE – 50 ML,48.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/naturesoin-huile-de-myrte-50-ml,1,0,0.9166,0.0,0.5292,1,3.8918202981106265,low-cost,0,5,0,4,Low-cost,-1.7684082285755358,0.5883590577043353,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,NATURESOIN HUILE DE BEAUTÉ DE LA ROSE – 50 ML,48.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/naturesoin-huile-de-beaute-de-la-rose-50-ml,1,0,0.9166,0.0,0.5292,1,3.8918202981106265,low-cost,0,5,0,4,Low-cost,-1.7684082285755358,0.5883590577043353,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,RACINE VITA HUILE DE CEDRE DE L’ATLAS 40ML,48.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/racine-vita-huile-de-cedre-de-l-atlas-40ml,1,0,0.9166,0.0,0.5292,1,3.8918202981106265,low-cost,0,5,0,4,Low-cost,-1.7684082285755358,0.5883590577043353,0
BeautyMarket,Shopify,Solaire,Solaire,,HEI POA MONOI DE TAHITI TROPICAL 100 ML,139.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/hei-poa-monoi-de-tahiti-tropical-monoi-100-ml,1,0,0.9143,0.0,0.5286,1,4.941642422609304,mid-range,0,18,0,0,Mid-range,-1.0190889440400368,-0.0406865179510657,0
BeautyMarket,Shopify,Solaire,Solaire,,SVR SUN SECURE EASY STICK INVISIBLE FINISH SPF50+ 10G,139.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/svr-sun-secure-easy-stick-invisible-finish-spf50-10g,1,0,0.9143,0.0,0.5286,1,4.941642422609304,mid-range,0,18,0,0,Mid-range,-1.0190889440400368,-0.0406865179510657,0
BeautyMarket,Shopify,Solaire,Auto Bronzant,,VAHEMA MONOI DE TAHITI VANILLE 100 ML,139.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/vahema-monoi-de-tahiti-vanille,1,0,0.9143,0.0,0.5286,1,4.941642422609304,mid-range,0,18,0,0,Mid-range,-1.0190889440400368,-0.0406865179510657,0
BeautyMarket,Shopify,Solaire,Solaire,,HEI POA SOIN CAPILLAIRE-PUR MONOI DE TAHITI CHEVEUX SECS ET ABIMES 100,139.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/hei-poa-soin-capillaire-pur-monoi-de-tahiti-cheveux-secs-et-abimes-100ml,1,0,0.9143,0.0,0.5286,1,4.941642422609304,mid-range,0,18,0,0,Mid-range,-1.0190889440400368,-0.0406865179510657,0
BeautyMarket,Shopify,Solaire,Auto Bronzant,,VAHEMA MONOI DE TAHITI HUILE COCO 100 ML,139.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/vahema-monoi-de-tahiti-huile-coco-100-ml,1,0,0.9143,0.0,0.5286,1,4.941642422609304,mid-range,0,18,0,0,Mid-range,-1.0190889440400368,-0.0406865179510657,0
BeautyMarket,Shopify,Solaire,Solaire,,NIVEA SUN PROTECT & HYDRATE LAIT SOLAIRE SPF20 200 ML,139.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/nivea-sun-protect-hydrate-lait-solaire-spf20-200-ml,1,0,0.9143,0.0,0.5286,1,4.941642422609304,mid-range,0,18,0,0,Mid-range,-1.0190889440400368,-0.0406865179510657,0
BeautyMarket,Shopify,Solaire,Solaire,,HEI POA MONOI DE TAHITI AU MONOI ORCHIDEE TROPICALE 100 ML,139.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/hei-poa-monoi-de-tahiti-au-monoi-orchidee-tropicale-100-ml,1,0,0.9143,0.0,0.5286,1,4.941642422609304,mid-range,0,18,0,0,Mid-range,-1.0190889440400368,-0.0406865179510657,0
